202	Payload[89]	0	0x0000005e	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[90]	0	0x0000005f	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[91]	0	0x00000060	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[92]	0	0x00000061	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[93]	0	0x00000062	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[94]	0	0x00000063	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[95]	0	0x00000064	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[96]	0	0x00000065	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[97]	0	0x00000066	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[98]	6	0x00000067	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[99]	0	0x00000068	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[100]	0	0x00000069	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[101]	0	0x0000006a	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[102]	0	0x0000006b	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[103]	0	0x0000006c	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[104]	0	0x0000006d	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[105]	0	0x0000006e	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[106]	0	0x0000006f	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[107]	0	0x00000070	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[108]	0	0x00000071	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[109]	0	0x00000072	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[110]	0	0x00000073	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[111]	0	0x00000074	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[112]	0	0x00000075	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[113]	0	0x00000076	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[114]	0	0x00000077	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[115]	0	0x00000078	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[116]	0	0x00000079	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[117]	0	0x0000007a	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[118]	0	0x0000007b	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[119]	0	0x0000007c	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[120]	0	0x0000007d	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[121]	0	0x0000007e	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
202	Payload[122]	0	0x0000007f	1	unsigned char	2023-03-20 19:47:37,5459218	unknown (0)
